Objects
100
,,Global Angle LEDS:LEDS,,,,,,Global Angle Reflective Balls:Reflective Balls,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.123363,0.109812,2.766112,348.688110,41.596291,1642.354980,-0.135783,0.103073,2.771087,348.671906,41.589676,1641.967773
2,0,-0.129452,0.098441,2.779745,347.547668,41.999683,1642.041870,-0.139552,0.104992,2.772127,347.585205,42.332703,1641.982056
3,0,-0.126474,0.097630,2.780330,346.598206,42.389259,1642.200439,-0.142985,0.102370,2.773103,346.455444,42.995667,1641.835205
4,0,2.375284,-2.007109,0.174980,345.066498,43.254307,1642.241211,-0.146561,0.107442,2.771734,345.263702,43.689308,1641.757568
5,0,2.384207,-1.999011,0.196997,343.948822,43.690151,1642.006470,-0.150106,0.107235,2.772217,344.070496,44.428947,1641.620239
6,0,2.385811,-1.994877,0.207965,342.613434,44.932838,1641.647583,-0.152653,0.101751,2.774502,342.861237,45.188778,1641.487305
7,0,2.386904,-2.003883,0.179606,341.527344,45.358997,1641.727539,-0.154953,0.104519,2.774189,341.668213,45.891121,1641.416016
8,0,2.375937,-2.005631,0.196761,340.494354,46.177071,1641.631592,-0.157110,0.106884,2.773904,340.601929,46.532917,1641.190796
9,0,2.384497,-2.000663,0.196229,339.224731,46.848221,1641.373901,-0.157842,0.100989,2.776366,339.454865,47.192417,1641.120117
10,0,2.394662,-1.977249,0.207470,338.510864,47.492180,1641.456543,-0.157585,0.103052,2.776066,338.415375,47.721962,1640.996826
11,0,2.386316,-1.998808,0.201470,336.943420,47.839821,1641.075073,-0.156936,0.104025,2.776344,337.273376,48.247360,1640.993164
12,0,2.386983,-2.002821,0.184754,335.852783,48.132587,1641.223999,-0.155340,0.099367,2.778331,336.143860,48.733681,1641.006714
13,0,2.385140,-1.990168,0.196109,335.221252,48.919487,1641.539429,-0.153371,0.094209,2.779895,335.136353,49.124599,1640.879150
14,0,2.383974,-1.990541,0.175192,333.851349,49.753464,1641.069214,-0.151168,0.095083,2.779759,334.207458,49.468983,1640.696289
15,0,2.392526,-1.987434,0.175888,333.120209,50.161705,1641.283691,-0.148439,0.095219,2.780011,333.175720,49.806179,1640.714111
16,0,1.976239,2.374120,-0.003231,331.943329,50.115982,1641.120239,-0.145698,0.089903,2.781544,332.155121,50.145073,1640.769775
17,0,1.982175,2.374408,0.005783,330.935730,49.957954,1641.164551,-0.145357,0.085168,2.781619,331.173920,50.425053,1640.604736
18,0,1.971530,2.360841,-0.026897,330.266266,50.922676,1641.525269,-0.143011,0.085504,2.783162,330.462830,50.687019,1640.547729
19,0,2.398449,-2.002329,0.156467,328.894897,50.454674,1641.007202,-0.136955,0.080813,2.784810,329.428589,51.036037,1640.799194
20,0,2.399217,-1.999152,0.147369,328.078888,50.820530,1641.448608,-0.134548,0.081771,2.784459,328.494415,51.356201,1640.973511
21,0,2.390085,-1.994664,0.164137,327.431763,51.468983,1641.596558,-0.129395,0.080199,2.784441,327.635223,51.706860,1640.974609
22,0,2.406109,-2.006326,0.153801,326.517151,52.176170,1641.304321,-0.129951,0.077912,2.784662,326.670502,52.088890,1641.127563
23,0,2.394258,-2.007528,0.158354,325.580566,52.355003,1641.371338,-0.128388,0.073679,2.785781,325.859589,52.458611,1641.141968
