Objects
100
,,Global Angle LEDS:LEDS,,,,,,Global Angle Reflective Balls:Reflective Balls,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.044773,0.059426,2.315792,98.771889,410.288879,1112.985596,-0.004470,0.067823,-0.825813,99.180977,410.460480,1113.841797
2,0,0.027575,0.092302,2.321612,98.354935,408.704834,1113.683838,-0.007456,0.067933,-0.820370,98.984558,409.904846,1113.821289
3,0,0.034645,0.088219,2.330763,98.262619,408.663574,1113.101318,-0.010525,0.068194,-0.814821,98.751717,409.378693,1113.778931
4,0,0.037688,0.090821,2.332187,98.195488,407.838165,1112.873901,-0.013752,0.067951,-0.809523,98.538506,408.873444,1113.693970
5,0,0.035253,0.092843,2.340118,97.950027,407.642090,1112.811646,-0.016873,0.067989,-0.804093,98.327141,408.396057,1113.567383
6,0,0.038823,0.097752,2.340237,97.755417,406.922058,1112.608765,-0.020025,0.067839,-0.798899,98.127716,407.888092,1113.459351
7,0,0.018709,0.065215,2.334319,97.934753,408.307709,1111.842407,-0.022749,0.066911,-0.793338,97.908432,407.413025,1113.288330
8,0,0.021541,0.088128,2.336912,97.771057,407.081390,1111.500977,-0.026235,0.066331,-0.788099,97.653969,406.968842,1113.073608
9,0,0.018933,0.095411,2.346712,97.445541,406.358673,1111.114258,-0.030317,0.065815,-0.783571,97.397682,406.574127,1112.828491
10,0,0.040205,0.106467,2.360907,97.008865,405.323242,1111.376709,-0.035367,0.065548,-0.779320,97.143402,406.221985,1112.500366
11,0,0.030907,0.110656,2.371056,96.652107,405.724731,1111.314697,-0.041084,0.064791,-0.775359,96.887856,405.911133,1112.120117
12,0,0.009939,0.124950,2.367027,96.593712,404.737915,1110.967529,-0.046668,0.062999,-0.771799,96.640564,405.620422,1111.631226
13,0,-0.013073,0.147282,2.366482,96.269180,404.696411,1109.897583,-0.053150,0.061288,-0.767939,96.326538,405.447693,1111.107910
14,0,-0.002482,0.108174,2.359576,96.233269,405.331909,1109.579712,-0.060100,0.059697,-0.764426,96.053497,405.342712,1110.529541
15,0,-0.004913,0.120551,2.362391,96.035248,405.037048,1108.739258,-0.067368,0.057440,-0.760532,95.744476,405.247864,1109.881836
16,0,-0.077227,0.053102,-0.764907,95.588036,404.252014,1108.484741,-0.075432,0.054917,-0.757470,95.472931,405.210327,1109.186401
17,0,-0.088417,0.037644,-0.763261,95.137154,404.759064,1107.760132,-0.083089,0.052527,-0.754257,95.177208,405.265533,1108.543701
18,0,-0.095204,0.027299,-0.756541,94.939278,405.032104,1107.245117,-0.089922,0.049863,-0.750547,94.850334,405.313080,1107.889404
19,0,-2.481956,-1.962883,0.126070,94.841019,405.472717,1106.023438,-0.098293,0.047002,-0.747548,94.567688,405.393738,1107.206299
20,0,-2.469540,-1.969313,0.154943,94.619911,404.897552,1105.763794,-0.105918,0.044443,-0.744917,94.316986,405.541718,1106.505249
21,0,-2.470048,-1.976213,0.151287,94.481674,405.341156,1105.303711,-0.114199,0.042050,-0.742247,94.164574,405.618958,1105.801758
22,0,-2.469905,-1.963066,0.179882,94.164284,405.179932,1104.499023,-0.121697,0.039512,-0.740578,94.053253,405.602356,1105.206543
23,0,-2.472399,-1.966084,0.177749,94.163361,405.241058,1104.274292,-0.126962,0.037391,-0.739480,93.963837,405.513000,1104.827393
24,0,-2.483232,-1.972130,0.205128,93.991714,405.189301,1104.269409,-0.130290,0.034583,-0.738826,93.860481,405.248840,1104.662598
25,0,-2.482800,-1.989491,0.197722,93.838928,404.587341,1104.110229,-0.129817,0.031451,-0.737725,93.653992,404.862732,1104.662231
26,0,-2.480227,-1.986020,0.180391,93.429901,404.033783,1103.989258,-0.126840,0.028769,-0.736019,93.350082,404.415375,1104.761230
27,0,-2.481215,-1.983905,0.178929,93.117981,403.486450,1104.148682,-0.124012,0.026826,-0.733337,92.994095,404.046997,1104.989380
28,0,-2.477471,-1.995686,0.183430,92.716255,403.505585,1104.598022,-0.121523,0.026160,-0.729881,92.608032,403.714539,1105.225098
29,0,-2.474609,-1.991185,0.171520,92.356010,402.732147,1104.604736,-0.119915,0.025994,-0.726719,92.214127,403.387238,1105.454346
30,0,-2.470923,-1.991965,0.168896,92.031952,402.405396,1104.913818,-0.117534,0.027010,-0.723872,91.840599,403.045013,1105.775146
31,0,1.888261,-2.341603,0.132726,91.852333,402.135925,1105.472534,-0.114804,0.028179,-0.721782,91.465698,402.650757,1106.209839
32,0,1.901406,-2.336828,0.126558,91.461411,401.849152,1106.011963,-0.111274,0.029151,-0.720839,91.088028,402.219788,1106.736694
33,0,1.903044,-2.333582,0.123841,90.930458,401.346008,1106.525146,-0.106944,0.030516,-0.720950,90.730736,401.813507,1107.391968
34,0,1.902366,-2.334099,0.119372,90.499329,400.833710,1107.253784,-0.103514,0.032914,-0.721136,90.335846,401.432037,1108.055786
35,0,1.904579,-2.335967,0.114684,89.973610,400.396790,1108.015259,-0.100718,0.035200,-0.721143,89.841705,401.052734,1108.816162
36,0,1.901049,-2.342380,0.113307,89.471420,399.918488,1108.781738,-0.098881,0.037647,-0.721324,89.263237,400.667084,1109.630493
37,0,-0.006900,0.171013,2.407182,88.809990,399.900299,1109.743408,-0.096208,0.039604,-0.721214,88.658340,400.369934,1110.501221
38,0,-0.022790,0.159620,2.402115,88.059433,400.048492,1110.104858,-0.094209,0.042803,-0.721069,88.016350,400.117920,1111.397461
39,0,-0.016337,0.160055,2.401787,87.376701,399.733215,1111.161987,-0.092487,0.045059,-0.720825,87.311462,399.819366,1112.416870
40,0,-2.434195,-1.977458,0.131907,86.594391,399.081329,1112.497070,-0.090482,0.047864,-0.720050,86.496056,399.570557,1113.506104
41,0,-2.447208,-1.979037,0.118309,85.748833,399.142792,1113.448975,-0.087951,0.049665,-0.719200,85.631195,399.426910,1114.725952
42,0,-2.440603,-1.979281,0.106449,84.785385,399.382935,1114.936523,-0.085542,0.050541,-0.718119,84.656799,399.273560,1116.071777
43,0,-2.441853,-1.979612,0.117649,83.726616,399.034119,1116.238770,-0.083236,0.051786,-0.716805,83.591934,399.183075,1117.529297
44,0,-2.435456,-1.986794,0.095598,82.646423,399.017883,1117.899780,-0.080482,0.052670,-0.716572,82.510468,399.129486,1119.074951
45,0,-2.437609,-1.982573,0.112450,81.473465,399.009583,1119.452026,-0.077614,0.051793,-0.715619,81.330826,399.145020,1120.686401
46,0,-2.436863,-1.985776,0.099064,80.190086,399.115570,1121.214478,-0.075320,0.052171,-0.714574,80.114822,399.183960,1122.474609
47,0,-2.437807,-1.980312,0.103539,78.852844,399.173126,1123.060913,-0.072607,0.050791,-0.714067,78.775887,399.318848,1124.305542
48,0,-2.439600,-1.981302,0.094278,77.592102,399.143860,1124.939575,-0.069636,0.053718,-0.712827,77.303474,399.343658,1126.424194
49,0,-2.432540,-1.979877,0.080631,76.063629,399.618439,1127.142578,-0.067068,0.051762,-0.712352,75.818863,399.541870,1128.443848
50,0,-2.434381,-1.990510,0.083413,74.431183,399.326050,1128.968872,-0.064461,0.049013,-0.711181,74.281700,399.713043,1130.500854
51,0,-2.432826,-1.987028,0.065432,73.005096,400.242981,1131.546143,-0.062228,0.046736,-0.710391,72.663979,399.889893,1132.676758
52,0,-0.031268,0.117989,2.417108,70.983047,400.274689,1133.688477,-0.060470,0.044553,-0.709141,70.979889,400.083252,1134.943115
53,0,-0.028727,0.119084,2.412545,69.492836,399.564392,1135.739014,-0.058791,0.038261,-0.708619,69.285126,400.358307,1137.110596
54,0,-0.040086,0.119750,2.419860,67.494034,400.868103,1138.581421,-0.057957,0.039930,-0.706620,67.454254,400.459503,1139.717773
55,0,-0.036883,0.115612,2.423220,65.828362,400.364166,1140.778198,-0.057337,0.035596,-0.706559,65.704857,400.785889,1142.089966
56,0,-0.036667,0.101947,2.422292,64.004814,401.412231,1143.736816,-0.056883,0.034705,-0.705118,63.905178,401.013214,1144.704102
57,0,-0.028647,0.114940,2.420983,62.067417,401.184143,1146.194580,-0.056932,0.038442,-0.703018,62.073730,401.222473,1147.588623
58,0,2.415125,1.992502,-0.073181,60.513710,401.432922,1149.026978,-0.057804,0.039331,-0.701496,60.311501,401.496490,1150.381104
59,0,2.413320,1.997401,-0.064695,58.858154,401.941132,1152.105225,-0.059086,0.040401,-0.699445,58.609043,401.846344,1153.281250
60,0,2.412247,2.000381,-0.076084,57.031670,402.043365,1154.969971,-0.061171,0.042760,-0.698479,56.958679,402.149811,1156.301270
61,0,2.414569,1.997310,-0.080957,55.557850,402.016571,1157.855591,-0.062251,0.045114,-0.696433,55.300877,402.547577,1159.350708
62,0,2.416643,2.009085,-0.074801,53.913921,402.991425,1161.346191,-0.063794,0.048372,-0.695194,53.686317,402.910217,1162.505981
63,0,2.408472,2.013503,-0.082400,52.315727,402.774597,1164.313843,-0.065088,0.051758,-0.693981,52.153633,403.284576,1165.793579
64,0,2.417278,2.014555,-0.088128,50.916584,403.837463,1168.021851,-0.066770,0.055948,-0.692177,50.651852,403.698120,1169.176880
65,0,2.422005,2.008700,-0.102357,49.447281,403.762543,1171.349731,-0.068807,0.056718,-0.691563,49.281391,404.172485,1172.511108
66,0,2.421174,2.019744,-0.096269,48.087563,404.551147,1175.129517,-0.069771,0.064202,-0.689526,47.885353,404.495361,1176.203857
67,0,2.418179,2.022907,-0.109838,46.651447,404.591034,1178.601074,-0.071665,0.068204,-0.688201,46.574528,404.912689,1179.898193
68,0,2.414525,2.022928,-0.118807,45.373222,405.539551,1182.290039,-0.072883,0.072045,-0.687103,45.233337,405.293274,1183.687134
