Objects
100
,,Global Angle LEDS:LEDS,,,,,,Global Angle Reflective Balls:Reflective Balls,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,3.027719,-1.017682,0.053670,191.907227,247.597076,1654.532593,-0.108786,-0.062824,3.536918,192.645081,247.622284,1654.095947
2,0,3.033782,-1.015975,0.064685,192.000198,247.922836,1654.364746,-0.109912,-0.062525,3.537122,192.532394,247.756973,1654.106079
3,0,3.030057,-1.017140,0.080283,191.816467,247.495972,1654.639526,-0.107552,-0.064631,3.536967,192.359589,247.974289,1654.257446
4,0,-0.991183,-2.956265,-0.090621,191.631439,247.382858,1654.987549,-0.109746,-0.060900,3.536908,192.343292,248.025223,1654.194214
5,0,-0.996951,-2.948482,-0.084276,191.687805,247.204529,1654.830566,-0.110046,-0.063324,3.537362,192.194031,248.205673,1654.311523
6,0,-0.990713,-2.954476,-0.092363,191.444717,247.368027,1654.992188,-0.110205,-0.062334,3.537306,192.137177,248.266739,1654.332520
7,0,-0.991825,-2.949461,-0.081181,191.498779,247.395111,1654.810425,-0.111232,-0.061512,3.537430,192.079102,248.369263,1654.396606
8,0,-0.986058,-2.954105,-0.088416,191.367188,247.547836,1654.945923,-0.111320,-0.060680,3.537071,192.029495,248.427155,1654.395142
9,0,-0.981905,-2.950778,-0.092593,191.467392,247.669754,1654.788452,-0.112188,-0.059796,3.536799,192.004578,248.509567,1654.415894
10,0,-0.981687,-2.960090,-0.088541,191.495239,248.149231,1654.514404,-0.112029,-0.059500,3.536462,191.989578,248.564377,1654.404419
11,0,-0.978291,-2.949156,-0.094594,191.574112,248.159027,1654.718384,-0.112054,-0.058570,3.536220,191.975143,248.562134,1654.393433
12,0,-0.984327,-2.959721,-0.087383,191.425995,247.754715,1654.606323,-0.111452,-0.058397,3.535951,192.033493,248.611877,1654.366943
13,0,-0.983129,-2.959624,-0.086545,191.619263,248.239182,1654.471313,-0.111167,-0.057593,3.535595,192.109802,248.676071,1654.338867
14,0,-0.985096,-2.959266,-0.084578,191.666641,248.244934,1654.452026,-0.109311,-0.057780,3.535571,192.200851,248.727875,1654.304688
15,0,-0.990393,-2.954531,-0.081841,191.723969,248.256134,1654.737183,-0.108064,-0.057400,3.535356,192.288635,248.745361,1654.228882
16,0,-0.986907,-2.949596,-0.086762,191.879089,248.488968,1654.424194,-0.106241,-0.057845,3.535183,192.379410,248.763550,1654.127930
17,0,-0.986935,-2.950340,-0.086922,192.056412,248.592224,1654.258911,-0.104124,-0.058698,3.534758,192.529587,248.779968,1654.014404
18,0,-0.985734,-2.941518,-0.089210,192.265259,248.784882,1654.303101,-0.102055,-0.059520,3.534628,192.694702,248.807068,1653.891479
19,0,-0.988112,-2.939967,-0.089605,192.359238,248.415512,1654.208008,-0.100243,-0.060386,3.534604,192.832809,248.810104,1653.825684
20,0,-0.987817,-2.938857,-0.089326,192.651581,248.576675,1654.142578,-0.098930,-0.061331,3.534212,193.036072,248.850952,1653.756348
21,0,-0.982706,-2.940616,-0.090034,192.858749,248.469437,1653.824341,-0.097144,-0.061754,3.534096,193.219452,248.893768,1653.682983
22,0,-0.981870,-2.938578,-0.089131,193.047287,248.469437,1653.787842,-0.092168,-0.068637,3.530925,193.610214,249.297073,1653.796997
23,0,-0.992681,-2.961078,-0.078071,193.088867,248.603455,1653.825928,-0.093412,-0.063307,3.533742,193.622665,248.993271,1653.473999
24,0,-0.994194,-2.956578,-0.075003,193.300491,248.507401,1653.647217,-0.091703,-0.064254,3.533250,193.798325,248.984924,1653.362183
25,0,0.088797,0.048081,-2.751459,193.512253,248.551620,1653.557617,-0.089260,-0.065726,3.533099,194.032455,248.993912,1653.232910
26,0,0.086035,0.049884,-2.751896,193.729095,248.584732,1653.454956,-0.086703,-0.067054,3.532823,194.199188,248.990631,1653.091064
27,0,0.064039,0.062274,-2.751050,193.974045,248.058746,1653.362061,-0.084278,-0.069569,3.532650,194.340210,248.960663,1652.998169
28,0,0.080383,0.067954,-2.750417,193.793137,247.954758,1653.686401,-0.083871,-0.071917,3.532647,194.500870,248.859238,1652.849854
29,0,0.079896,0.067491,-2.750936,193.891983,247.919632,1653.712524,-0.078630,-0.072569,3.531779,194.551987,248.808929,1652.834717
30,0,0.078110,0.066546,-2.751173,193.955734,247.796188,1653.627197,-0.076605,-0.074178,3.531532,194.613800,248.661163,1652.807495
31,0,0.069395,0.064528,-2.753793,194.089996,247.708435,1653.473022,-0.074781,-0.075926,3.531173,194.642670,248.562912,1652.803589
32,0,0.076532,0.069023,-2.752022,193.972534,247.455994,1653.649170,-0.073755,-0.077002,3.530751,194.642532,248.426056,1652.800415
33,0,0.072718,0.074834,-2.750949,194.053345,247.260513,1653.530640,-0.073711,-0.077578,3.530530,194.618927,248.297165,1652.833374
34,0,-0.984369,-2.923424,-0.081196,193.931351,247.554871,1653.653198,-0.073965,-0.078423,3.530146,194.532776,248.190903,1652.885986
35,0,-0.987034,-2.933885,-0.093394,193.889938,247.142715,1653.658569,-0.074328,-0.078629,3.529773,194.396790,248.050049,1652.958740
36,0,-0.987690,-2.929812,-0.084221,193.630127,246.878387,1653.939819,-0.078130,-0.079658,3.530182,194.293900,247.919083,1653.008423
37,0,-0.982517,-2.927060,-0.096720,193.606491,246.964767,1653.693726,-0.077823,-0.077605,3.529512,194.092056,247.821823,1653.182739
38,0,-0.983227,-2.927988,-0.096094,193.483780,246.944733,1653.801636,-0.080193,-0.076978,3.529230,193.960526,247.749924,1653.339600
39,0,-0.984980,-2.930213,-0.094372,193.399155,246.922958,1653.903809,-0.082792,-0.076520,3.529120,193.810730,247.673477,1653.497925
40,0,-0.988717,-2.926493,-0.085815,193.143539,246.915436,1654.208252,-0.084665,-0.075783,3.529214,193.687790,247.655655,1653.651367
41,0,-0.985109,-2.932189,-0.077789,193.120056,247.543411,1653.908569,-0.090255,-0.072636,3.529174,193.666611,247.483917,1653.642212
42,0,-0.988316,-2.941384,-0.072871,192.821396,247.438629,1654.039673,-0.090719,-0.075156,3.529432,193.480698,247.533218,1653.863159
43,0,-0.988121,-2.930714,-0.085448,192.900482,247.319305,1654.526855,-0.093645,-0.071518,3.528939,193.474258,247.426819,1653.878052
44,0,-0.984792,-2.942778,-0.083903,192.550430,247.260925,1654.510986,-0.092752,-0.069254,3.528298,193.458160,247.411758,1653.898682
45,0,-0.995790,-2.932695,-0.089296,192.850937,247.084137,1654.767822,-0.093483,-0.068627,3.528120,193.430115,247.412277,1653.983398
46,0,-1.000626,-2.941503,-0.083502,192.808167,247.500366,1654.678955,-0.095752,-0.069507,3.528453,193.388367,247.442413,1654.098267
47,0,-0.996595,-2.935470,-0.095676,192.856232,247.600693,1654.986694,-0.096655,-0.068917,3.528407,193.384827,247.477646,1654.145508
